,Unnamed: 0.1,Unnamed: 0,Song_Name,Key,Capo,Chord,BPM,Freq_map
85,166,82,Theres Nothing Holdin Me Back Chords,D,no capo,"['G', 'D', 'A', 'Bm']",123 bpm,"{'F': 25, 'C': 90, 'G': 50, 'Am': 26}"
87,170,64,The Water Fountain Chords,C#,1st fret,"['C', 'Am', 'G', 'D', 'Em']",67 bpm,"{'C': 14, 'Am': 14, 'G': 12, 'D': 14, 'Em': 2}"
88,172,116,Chaand Baaliyan Chords,C#,1st fret,"['C', 'Am7', 'G', 'F']",97 bpm,"{'C': 18, 'Am7': 4, 'G': 10, 'F': 6}"
89,173,184,Hallelujah Chords,C#,1st fret,"['C', 'Am', 'F', 'G', 'E7']",69 bpm,"{'C': 41, 'Am': 38, 'F': 30, 'G': 28, 'E7': 5}"
90,176,256,Complicated Chords,Dm,no capo,"['Dm', 'A#', 'F', 'C', 'Gm']",78 bpm,"{'Am': 25, 'F': 32, 'C': 23, 'G': 25, 'Dm': 4}"
92,179,87,South Of The Border Chords,Dm,no capo,"['Dm', 'F', 'A#', 'Am7', 'C']",NF,"{'Am': 36, 'C': 36, 'F': 36, 'Em7': 32, 'G': 4}"
93,182,18,Just My Type Chords,Dm,no capo,"['Dm', 'A', 'A#', 'Gm', 'F', 'C']",NF,"{'Am': 26, 'E': 23, 'F': 25, 'Dm': 11, 'C': 16, 'G': 1}"
94,183,400,Where Is My Mind Chords,E,no capo,"['E', 'C#m', 'G#', 'A', 'Am', 'B']",81 bpm,"{'C': 25, 'Am': 25, 'E': 25, 'F': 25, 'Fm': 3, 'G': 3}"
95,184,403,Anti-Hero Chords,E,no capo,"['A', 'E', 'B', 'C#m']",97 bpm,"{'F': 39, 'C': 39, 'G': 39, 'Am': 39}"
96,186,103,Choo Lo Chords,E,no capo,"['E', 'B', 'A', 'C#m']",NF,"{'C': 12, 'G': 53, 'F': 27, 'Am': 14}"
97,187,95,2002 Chords,E,2nd fret,"['D', 'A', 'Bm', 'F#m', 'G']",NF,"{'C': 27, 'G': 30, 'Am': 24, 'Em': 3, 'F': 28}"
98,189,86,Photograph Chords,E,2nd fret,"['D', 'Bm', 'A', 'G']",108 bpm,"{'C': 17, 'Am': 16, 'G': 16, 'F': 17}"
99,190,245,Where Is My Mind Chords,E,no capo,"['E', 'C#m', 'G#', 'A', 'Am', 'B']",81 bpm,"{'C': 25, 'Am': 25, 'E': 25, 'F': 25, 'Fm': 3, 'G': 3}"
100,192,68,Falling Chords,E,no capo,"['E', 'C#m', 'B', 'A', 'G#m']",110 bpm,"{'C': 13, 'Am': 13, 'G': 12, 'F': 13, 'Em': 11}"
101,193,123,Hey Soul Sister Chords,E,4th fret,"['C', 'G', 'Am', 'F']",97 bpm,"{'C': 26, 'G': 45, 'Am': 14, 'F': 28}"
102,196,54,What Makes You Beautiful Chords,E,no capo,"['E', 'A', 'B']",NF,"{'C': 47, 'F': 47, 'G': 47}"
103,197,248,Anti-Hero Chords,E,no capo,"['A', 'E', 'B', 'C#m']",97 bpm,"{'F': 39, 'C': 39, 'G': 39, 'Am': 39}"
105,200,341,Love Yourself Chords,E,4th fret,"['C', 'G', 'Am', 'Dm', 'F', 'G']",100 bpm,"{'C': 56, 'G': 20, 'Am': 28, 'Dm': 10, 'F': 18, 'G': 24}"
106,203,249,Peaceful Easy Feeling Chords,E,2nd fret,"['D', 'Dsus4', 'G', 'A7', 'Em']",143 bpm,"{'C': 47, 'Csus4': 8, 'F': 41, 'G7': 24, 'Dm': 13}"
108,205,114,Story Of My Life Chords,D#,3rd fret,"['Am', 'C', 'F', 'G']",121 bpm,"{'Am': 24, 'C': 23, 'F': 25, 'G': 10}"
109,217,157,Before You Go Chords,D#,1st fret,"['D', 'Bm', 'G', 'Asus4', 'A']",112 bpm,"{'C': 14, 'Am': 13, 'F': 12, 'Gsus4': 4, 'G': 19}"
110,218,195,Die For You Chords,D#,3rd fret,"['C', 'Dm', 'F', 'Fm', 'Am']",NF,"{'C': 13, 'Dm': 13, 'F': 13, 'Fm': 4, 'Am': 2}"
111,220,212,Cardigan Chords,D#,1st fret,"['Em', 'A', 'G', 'D', 'Bm']",65 bpm,"{'Dm': 7, 'G': 32, 'F': 26, 'C': 12, 'Am': 7}"
112,221,156,Without Me Chords,D#m,6th fret,"['Am', 'C', 'G', 'F']",69 bpm,"{'Am': 27, 'C': 27, 'G': 27, 'F': 27}"
113,222,154,Back To You Chords,D#m,2nd fret,"['C#m', 'A', 'E']",102 bpm,"{'Am': 41, 'F': 41, 'C': 41}"
115,226,270,Zombie Chords,Em,no capo,"['Em', 'C', 'G', 'D/F#']",82 bpm,"{'Am': 22, 'F': 21, 'C': 16, 'G': 16}"
116,227,119,Cheap Thrills Chords,F#m,2nd fret,"['Em', 'C', 'G', 'D']",90 bpm,"{'Am': 37, 'F': 37, 'C': 37, 'G': 36}"
117,228,144,Breakeven Chords,Em,3rd fret,"['C', 'G', 'D', 'Em', 'Am7']",94 bpm,"{'C': 22, 'G': 43, 'D': 43, 'Em': 43, 'Am7': 21}"
118,230,235,A Horse With No Name Chords,Em,no capo,"['Em', 'D6/9', 'Em9', 'Dmaj9']",123 bpm,"{'Am': 24, 'G6/9': 24, 'Am9': 24, 'Gmaj9': 24}"
119,231,310,Island In The Sun Chords,Em,no capo,"['Em', 'Am', 'D', 'G', 'C']",115 bpm,"{'Am': 40, 'Dm': 42, 'G': 46, 'C': 44, 'F': 2}"
120,232,205,Nothing Else Matters Chords,Em,no capo,"['Em', 'D', 'C', 'G', 'B7', 'A']",142 bpm,"{'Am': 32, 'G': 32, 'F': 32, 'C': 7, 'E7': 7, 'D': 11}"
121,233,214,Heart Of Gold Chords,Em,no capo,"['Em7', 'D', 'Em', 'C', 'G']",85 bpm,"{'Am7': 6, 'G': 21, 'Am': 26, 'F': 20, 'C': 25}"
122,234,174,Darkside Chords,Em,no capo,"['Em', 'D', 'C', 'G', 'D/F#']",85 bpm,"{'Am': 35, 'G': 41, 'F': 35, 'C': 29 }"
124,236,360,Nothing Else Matters Chords,Em,no capo,"['Em', 'D', 'C', 'G', 'B7', 'A']",142 bpm,"{'Am': 32, 'G': 32, 'F': 32, 'C': 7, 'E7': 7, 'D': 11}"
125,238,165,Another Love Chords,Em,no capo,"['C', 'Em', 'Am', 'Bm', 'G']",120 bpm,"{'F': 28, 'Am': 44, 'Dm': 16, 'Em': 28, 'C': 12}"
126,239,397,God Rest Ye Merry Gentlemen Chords,Em,no capo,"['Em', 'C', 'B7', 'Am', 'G', 'D']",NF,"{'Am': 25, 'F': 10, 'E7': 20, 'Dm': 5, 'C': 15, 'G': 10}"
127,240,387,A Horse With No Name Chords,Em,no capo,"['Em', 'D6/9', 'Em9', 'Dmaj9']",123 bpm,"{'Am': 24, 'G6/9': 24, 'Am9': 24, 'Gmaj9': 24}"
128,242,279,Dreams Chords,F,no capo,"['Fmaj7', 'F', 'G', 'G6', 'Am']",120 bpm,"{'Cmaj7': 30, 'C': 33, 'D': 49, 'D6': 13, 'Em': 1}"
130,247,307,August Chords,F,3rd fret,"['D', 'G', 'Em', 'A']",90 bpm,"{'C': 22, 'F': 20, 'Dm': 20, 'G': 20}"
131,252,136,Just The Way You Are Chords,F,3rd fret,"['D', 'Bm7', 'G']",109 bpm,"{'C': 24, 'Am7': 12, 'F': 12}"
132,253,96,Tum JG# Paas Chords,F#,2nd fret,"['E', 'A', 'B']",82 bpm,"{'C': 45, 'F': 33, 'G': 36}"
133,255,215,You Belong With Me Chords,F#,4th fret,"['D', 'A', 'Em', 'G']",130 bpm,"{'C': 21, 'G': 17, 'Dm': 17, 'F': 17}"
136,258,76,Happier Chords,F#,6th fret,"['C', 'Am', 'Dm', 'G7']",57 bpm,"{'C': 9, 'Am': 9, 'Dm': 17, 'G7': 12}"
137,261,348,Wonderwall Chords,F#m,2nd fret,"['Em', 'G', 'D', 'A7sus4', 'C']",87 bpm,"{'Am': 53, 'C': 33, 'G': 26, 'D7sus4': 19, 'F': 23}"
138,263,368,The Night We Met Chords,F#m,2nd fret,"['Em', 'D', 'G', 'C']",58 bpm,"{'Am': 25, 'G': 8, 'C': 25, 'F': 17}"
139,264,192,Wonderwall Chords,F#m,2nd fret,"['Em', 'G', 'D', 'A7sus4', 'C']",87 bpm,"{'Am': 53, 'C': 33, 'G': 26, 'D7sus4': 19, 'F': 23}"
