,Unnamed: 0,Song_name,Artist_name,Scale_x,BPM,Scale_y,Capo,Chords,Frquency_map_of_each_chord,bpm
50,50,Im Not The Only One,John Lennon,C,76,F,no capo,"['F', 'A', 'Dm', 'A#', 'C', 'A#/C']","{'F': 47, 'A': 28, 'Dm': 28, 'A#': 32, 'C': 14, 'A#/C': 1}",84 
53,53,Wagon Wheel,Darius Rucker,A,148,A,2nd fret,"['G', 'D', 'Em', 'C']","{'G': 45, 'D': 45, 'Em': 23, 'C': 45}",148 
54,54,Wagon Wheel,Old Crow Medicine Show,A,146,A,2nd fret,"['G', 'D', 'Em', 'C']","{'G': 45, 'D': 45, 'Em': 23, 'C': 45}",148 
56,56,505,Arctic Monkeys,C,140,Em,no capo,"['Dm', 'Em']","{'Dm': 34, 'Em': 34}",140 
60,60,Nothing Else Matters,d4vd,Em,142,Em,no capo,"['Em', 'D', 'C', 'G', 'B7', 'A']","{'Em': 32, 'D': 32, 'C': 32, 'G': 7, 'B7': 7, 'A': 11}",142 
64,64,A Thousand Years,Dean Martin,B,100,A#,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']","{'G': 12, 'Em7': 17, 'Cadd9': 14, 'D': 21, 'Am': 4}",139 
65,65,Cardigan,Christina Perri,C,76,D#,1st fret,"['Em', 'A', 'G', 'D', 'Bm']","{'Em': 7, 'A': 32, 'G': 26, 'D': 12, 'Bm': 7}",65 
66,66,Heart Of Gold,Ed Sheeran,Em,91,Em,no capo,"['Em7', 'D', 'Em', 'C', 'G']","{'Em7': 6, 'D': 21, 'Em': 26, 'C': 20, 'G': 25}",85 
67,67,The Night We Met,Neil Young,D,174,F#m,2nd fret,"['Em', 'D', 'G', 'C']","{'Em': 25, 'D': 8, 'G': 25, 'C': 17}",58 
71,71,I Wanna Be Yours,Taylor Swift,Cm,68,Cm,no capo,"['Cm', 'Fm', 'Gm', 'A#', 'G#']","{'Cm': 21, 'Fm': 16, 'Gm': 16, 'A#': 10, 'G#': 10}",68 
72,72,I Wanna Be Yours,Taylor Swift,Cm,68,Key Not Find,3rd fret,"['Am', 'Dm', 'Em', 'G', 'F']","{'Am': 21, 'Dm': 16, 'Em': 16, 'G': 10, 'F': 10}",68 
77,77,Three Little Birds,Bob Marley,A,74,A,no capo,"['A', 'D', 'E']","{'A': 31, 'D': 15, 'E': 6}",76 
