name,author_name,scale_x,bpm_x,scale_y,capo,chords,bpm_y,Freq_map
Summer Of 69,Bryan Adams,D,139,D,no capo,"['D', 'A', 'D', 'A', 'Bm', 'G', 'F', 'A#', 'C', 'A#/D']",138 bpm,"{'C': 31, 'G': 30, 'Am': 9, 'F': 6, 'D#': 2, 'G#': 2, 'A#': 2, 'G#/C': 1}"
Proud Mary,Creedence Clearwater Revival,D,121,D,no capo,"['C', 'A', 'G', 'F', 'F6', 'D', 'Bm']",120 bpm,"{'A#': 9, 'G': 14, 'F': 3, 'D#': 9, 'D#6': 3, 'C': 28, 'Am': 5}"
I Love You,Billie Eilish,C,137,C,no capo,"['Fmaj7', 'Cadd9', 'C', 'Dm', 'G', 'Am']",138 bpm,"{'Fmaj7': 18, 'Cadd9': 12, 'C': 6, 'Dm': 4, 'G': 4, 'Am': 3}"
Save Your Tears,The Weeknd,C,118,C,no capo,"['C', 'Am', 'Em', 'G', 'Dm', 'F', 'F/G']",118 bpm,"{'C': 23, 'Am': 25, 'Em': 22, 'G': 23, 'Dm': 3, 'F': 3, 'F/G': 2}"
Black Panther Wakanda Forever - Lift Me Up,Misc Soundtrack,A,89,A,no capo,"['A', 'Bm', 'E7', 'F#m7']",NF,"{'C': 25, 'Dm': 17, 'G7': 17, 'Am7': 5}"
This Is The Life,Johnny Cash,C#m,94,C#m,4th fret,"['Am', 'F', 'C', 'Em']",190 bpm,"{'Am': 21, 'F': 17, 'C': 17, 'Em': 17}"
Beautiful Crazy,Luke Combs,B,103,B,4th fret,"['G', 'D/F#', 'Em7', 'D', 'C', 'Am7', 'G/B']",154 bpm,"{'C': 14, 'G/B': 13, 'Am7': 10, 'G': 15, 'F': 10, 'Dm7': 5, 'C/E': 4}"
The Times They Are A-Changin,Bob Dylan,G,172,G,no capo,"['D7', 'D6', 'G', 'Em', 'C', 'Am', 'D']",172 bpm,"{'G7': 6, 'G6': 6, 'C': 40, 'Am': 10, 'F': 20, 'Dm': 10, 'G': 25}"
Basket Case,Green Day,D#,88,D#,1st fret,"['E', 'A', 'D', 'G', 'B', 'Bm', 'F#m', 'C']",NF,"{'D': 1, 'G': 43, 'C': 41, 'F': 25, 'A': 1, 'Am': 19, 'Em': 6, 'A#': 3}"
Shape Of You,Ed Sheeran,C#m,96,C#m,2nd fret,"['Bm', 'Em', 'G', 'A']",96 bpm,"{'Am': 44, 'Dm': 42, 'F': 42, 'G': 40}"
She Used To Be Mine,Sara Bareilles,F,136,F,no capo,"['F', 'C', 'Dm', 'A#', 'A7/C#', 'Dm/C']",130 bpm,"{'C': 12, 'G': 7, 'Am': 10, 'F': 10, 'E7/G#': 3, 'Am/G': 1}"
Wind Of Change,Scorpions,C,75,C,no capo,"['F', 'Dm', 'Am', 'G', 'C', 'E']",76 bpm,"{'F': 14, 'Dm': 35, 'Am': 23, 'G': 40, 'C': 29, 'E': 4}"
Champagne Problems,Taylor Swift,C,171,C,no capo,"['C', 'G', 'Am', 'F']",85 bpm,"{'C': 19, 'G': 19, 'Am': 19, 'F': 19}"
Lean On Me,The Beatles,C,75,C,no capo,"['C', 'F', 'Em', 'G9', 'G7', 'G']",75 bpm,"{'C': 44, 'F': 14, 'Em': 7, 'G9': 1, 'G7': 11, 'G': 5}"
No Time To Die,Billie Eilish,Em,74,Em,no capo,"['Em', 'Cmaj7', 'Am', 'B7', 'A', 'Emmaj9']",75 bpm,"{'Am': 26, 'Fmaj7': 27, 'Dm': 25, 'E7': 11, 'D': 9, 'Ammaj9': 1}"
The Greatest Showman - Never Enough,Misc Christmas,G#,87,G#,1st fret,"['G', 'D', 'Em', 'C', 'Am', 'Cm']",NF,"{'C': 16, 'G': 13, 'Am': 11, 'F': 11, 'Dm': 4, 'Fm': 1}"
O Come All Ye Faithful,Misc Soundtrack,G,111,G,no capo,"['C', 'Am', 'D/C', 'G', 'D/G', 'D', 'Em', 'A']",80 bpm,"{'F': 17, 'Dm': 5, 'G/F': 1, 'C': 33, 'G/C': 1, 'G': 32, 'Am': 12, 'D': 4}"
All The Small Things,Blink-182,C,149,C,no capo,"['C', 'F', 'G']",148 bpm,"{'C': 33, 'F': 26, 'G': 32}"
O Come To The Altar,Elevation Worship,B,140,B,4th fret,"['G', 'C/G', 'Em', 'Cadd9', 'Am7', 'C', 'Gsus4', 'Fmaj7']",93 bpm,"{'C': 33, 'F/C': 13, 'Am': 16, 'Fadd9': 6, 'Dm7': 9, 'F': 10, 'Csus4': 2, 'A#maj7': 1}"
I Want To Hold Your Hand,The Beatles,G,131,G,no capo,"['C', 'D', 'G', 'Em', 'B', 'B7', 'Dm7', 'Am']",132 bpm,"{'F': 32, 'G': 27, 'C': 20, 'Am': 12, 'E': 4, 'E7': 5, 'Gm7': 4, 'Dm': 2}"
She Will Be Loved,Maroon 5,Cm,102,Cm,3rd fret,"['Am', 'G', 'C', 'F']",102 bpm,"{'Am': 37, 'G': 42, 'C': 13, 'F': 9}"
Arcade,Duncan Laurence,Am,72,Am,no capo,"['F', 'G', 'Em', 'Fmaj7', 'Am', 'Dm', 'C', 'C/E']",72 bpm,"{'F': 40, 'G': 28, 'Em': 17, 'Fmaj7': 3, 'Am': 8, 'Dm': 3, 'C': 5, 'C/E': 1}"
Million Reasons,Foster the People,C,130,C,no capo,"['C', 'Am', 'F', 'G', 'Fsus2']",65 bpm,"{'C': 19, 'Am': 18, 'F': 25, 'G': 21, 'Fsus2': 11}"
Holly Jolly Christmas,Wham!,C,140,C,no capo,"['C', 'G7', 'F', 'Em', 'Dm', 'Am', 'D7', 'G']",140 bpm,"{'C': 8, 'G7': 5, 'F': 1, 'Em': 1, 'Dm': 2, 'Am': 2, 'D7': 3, 'G': 1}"
Lavender Haze,Ricky Montgomery,D#,118,D#,1st fret,"['D', 'E', 'Bm']",97 bpm,"{'C': 20, 'D': 20, 'Am': 24}"
Eye Of The Tiger,Survivor,Cm,109,Cm,3rd fret,"['Em7', 'G', 'Am', 'Em', 'F', 'Dm', 'C']",NF,"{'Em7': 4, 'G': 41, 'Am': 88, 'Em': 10, 'F': 21, 'Dm': 12, 'C': 6}"
Dont Stop Believin,Journey,E,119,E,no capo,"['E', 'B', 'C#m', 'A', 'G#m']",120 bpm,"{'C': 29, 'G': 23, 'Am': 10, 'F': 29, 'Em': 9}"
Fix You,Coldplay,D#,138,D#,3rd fret,"['C', 'Em', 'Am7', 'Em/G', 'F', 'G', 'Gsus4']",69 bpm,"{'C': 36, 'Em': 16, 'Am7': 18, 'Em/G': 13, 'F': 17, 'G': 16, 'Gsus4': 9}"
