name,author_name,scale,bpm
Tears In Heaven,Marty Robbins,A,89
Vincent,Eric Clapton,E,90
Englishman In New York,Supertramp,Cm,75
Cars Outside,New West,F#m,123
Hey Ya,James Arthur,A#,85
Free Fallin,OutKast,Cm,92
Cornerstone,Tom Petty,F#,109
With A Little Help From My Friends,Arctic Monkeys,D,117
Eight Days A Week,The Beatles,Bm,136
Twist And Shout,The Beatles,D,69
Behind Blue Eyes,The Beatles,Em,127
One,The Who,F,140
Theres Nothing Holdin Me Back,U2,Bm,122
Good 4 U,Shawn Mendes,B,124
Dhairya,Olivia Rodrigo,E,100
Let Her Go,Sajjan Raj Vaidya,E,93
Cant Stop,Passenger,D,100
Give Me Love,Red Hot Chili Peppers,D,115
You Should Probably Leave,Ed Sheeran,A,92
Holiday,Chris Stapleton,Bm,146
Lay Me Down,Green Day,Em,78
Another Brick In The Wall Part 2,Sam Smith,C,104
We Are The Champions,Pink Floyd,Gm,95
1979,Queen,G,102
Somethin Stupid,The Mamas & The Papas,F,99
Enough For You,Olivia Rodrigo,G,88
Evergreen,Omar Apollo,A,82
Love Me Do,The Beatles,C,148
When You Say Nothing At All,Ronan Keating,G,87
Just The Way You Are,Billy Joel,G,139
The Witcher - Toss A Coin To Your Witcher,Misc Television,Fm,103
Kyoto,Phoebe Bridgers,B,122
At My Worst,Pink Sweat$,C,92
I Aint Worried,OneRepublic,C,140
Labyrinth,Taylor Swift,C,110
Love On The Brain,Rihanna,Em,172
Build My Life,Housefires,G,140
Fluorescent Adolescent,Arctic Monkeys,F#m,112
O Holy Night,Misc Christmas,E,174
Marry You,Bruno Mars,A#,145
Ironic,Alanis Morissette,B,115
Uptown Funk,Mark Ronson,C,115
Nights In White Satin,The Moody Blues,Em,85
Silent Night,Misc Christmas,C,90
Happiness Is A Butterfly,Lana Del Rey,D,70
Sand In My Boots,Morgan Wallen,D#,140
So Far Away,Avenged Sevenfold,Em,151
Everglow,Coldplay,E,146
Stan,Eminem,F#m,80
Michelle,Dido,Gm,77
Champagne Supernova,The Beatles,D,150
Hey Joe,Oasis,Em,139
Just Give Me A Reason,Jimi Hendrix,Am,175
Ghost Riders In The Sky,P!nk,A#m,110
What A Wonderful World,Johnny Cash,B,120
I Wanna Dance With Somebody Who Loves Me,Louis Armstrong,D,126
Nothing Breaks Like A Heart,Whitney Houston,Gm,114
Faded,Mark Ronson,F#,90
How Great Thou Art,Miley Cyrus,G#,140
High And Dry,Alan Walker,D,97
A Hard Days Night,Charlie Hall,C,139
Take It Easy,Radiohead,Bm,92
Breakeven,The Beatles,A#,94
Romeo And Juliet,Eagles,C#,148
Plush,The Script,Fm,133
Down In A Hole,Dire Straits,F#,95
Living Hope,Alice in Chains,F#,101
We Fell In Love In October,Mac DeMarco,C#,75
Santa Claus Is Coming To Town,Phil Wickham,E,71
Halleys Comet,girl in red,C#m,151
Sunroof,Bruce Springsteen,A#,131
Rock And A Hard Place,Billie Eilish,F#,100
Oceans Where Feet May Fail,Nicky Youre,D,127
The Man Who Cant Be Moved,Dazy,A#,100
Upside Down,Jack Johnson,F#m,102
Better Together,Jack Johnson,F,110
Girl,The Beatles,Fm,97
Summertime,George Gershwin,Bm,82
Sweet Home Alabama,Lynyrd Skynyrd,G,98
Smoke On The Water,Deep Purple,C,114
Fly Me To The Moon,Frank Sinatra,C,118
Lola,The Kinks,A,147
Perfect Day,Lou Reed,A#,145
Great Balls Of Fire,Jerry Lee Lewis,Gm,160
Here I Am To Worship,Chris Tomlin,E,152
Amarillo By Morning,George Strait,D,121
Still Into You,Paramore,F,136
Tribute,Tenacious D,Am,94
Yellow,Coldplay,B,173
Sister Golden Hair,America,E,135
Hold The Line,Toto,F#m,144
Your Love,The Outfield,C#m,130
Runaway Train,Soul Asylum,C,117
Pirates Of The Caribbean - Hes A Pirate,Misc Soundtrack,A#,71
Love Story - You Belong With Me,Hans Zimmer,F#,130
Promises,Taylor Swift,F#m,80
Where I Find God,Maverick City Music,B,138
Willow,Joe L Barnes,C#m,142
Cherry Wine,Naomi Raine,C#,82
Brahmāstra Part One - Shiva - Kesariya,Larry Fleet,F,69
Count On Me,Taylor Swift,G#,144
Lego House,grentperez,A,90
Feeling Whitney,Misc Soundtrack,C,80
Hey Brother,Bruno Mars,Gm,125
First Love Late Spring,Ed Sheeran,C,100
Unstoppable,Post Malone,A,174
Closing Time,Avicii,C#m,126
The Girl From Ipanema,Mitski,F,134
In The End,Sia,B,82
Tequila Sunrise,Semisonic,A#m,96
Man In The Mirror,Frank Sinatra,G#,100
Roxanne,Linkin Park,A,88
Wheels On The Bus,Eagles,A,96
Listen Before I Go,Michael Jackson,Bm,117
No Body No Crime,The Police,Gm,79
Encanto - We Dont Talk About Bruno,Raffi,Cm,103
Flower Shops,Billie Eilish,G,128
All For You,Taylor Swift,G,134
Complex,HAIM,A#m,88
Chainsaw Man Opening - Kick Back,Misc Cartoons,C#,102
House Of Gold,Lin-Manuel Miranda,C,115
3Am,Ernest,A#,115
Against All Odds,Morgan Wallen,C#,116
Burning Love,Cian Ducrot,C#,156
Get Back,The Beatles,G,124
I Wont Give Up,Jason Mraz,E,133
Fortunate Son,Creedence Clearwater Revival,G,132
All Along The Watchtower,Jimi Hendrix,G#,113
Thats Life,Frank Sinatra,Em,113
Everything Has Changed,Taylor Swift,F#,80
A Whiter Shade Of Pale,Etta James,C,150
Dance Monkey,Procol Harum,C,150
Happier,Tones And I,C#,119
Heat Waves,Olivia Rodrigo,A#,144
Fifth Of May,Glass Animals,G#,85
Drift Away,Taylor Swift,C,82
Human,Dobie Gray,B,76
Im Gonna Be 500 Miles,Yazoo,E,132
Sleigh Ride,The Proclaimers,D,92
Fly Me To The Moon,Johnny Mathis,F,88
Run Rudolph Run,Frank Sinatra,Gm,152
The Muppet Movie - Rainbow Connection,Chuck Berry,A,115
Heartbreak Anniversary,Misc Soundtrack,C,89
Girl On Fire,Giveon,D,82
New Slang,Alicia Keys,C#,104
Close To You,Mumford & Sons,F,83
White House Road,Carpenters,E,86
Feliz Navidad,Tyler Childers,G,74
Idontwannabeyouanymore,José Feliciano,G,170
This Love,Billie Eilish,E,144
Cant Take My Eyes Off You,Tracy Chapman,D#m,120
When I Come Around,Frankie Valli,C#,98
Sex Drugs Etc,Green Day,E,171
Celestial,Misc Cartoons,D#,80
After Hours,Sebastián Yatra,Fm,109
Its The Most Wonderful Time Of The Year,Ed Sheeran,G,101
Silver Bells,The Velvet Underground,G#m,145
Best Friend,Andy Williams,G,101
Stille Nacht Heilige Nacht,Misc Christmas,F#,60
Brooklyn Baby,Rex Orange County,G#,144
Sparks,Misc Christmas,G,123
Feel Good Inc,Lana Del Rey,G#m,135
Sympathy For The Devil,Coldplay,Cm,102
Killer Queen,Gorillaz,C,75
Shape Of My Heart,The Rolling Stones,F#m,84
Georgia On My Mind,Queen,G,94
All I Want For Christmas Is You,Sting,E,150
Total Eclipse Of The Heart,Ray Charles,F,135
By And By,Caamp,A,101
Stay,The Kid LAROI,C#,76
Your Power,Justin Bieber,C#m,140
Memories,Billie Eilish,A#,88
Devil Doesnt Bargain,Conan Gray,B,132
Mori,Alec Benjamin,D,84
Sweater Weather,Dawid Podsiadło,G#m,124
Devil Town,The Neighbourhood,F,80
Stuck In The Middle With You,cavetown,A,120
Way Maker,Stealers Wheel,E,136
Try,Lauren Daigle,F#,144
Ive Just Seen A Face,P!nk,F,126
Ob-La-Di Ob-La-Da,The Beatles,A#,113
Hallelujah,The Beatles,F,131
To Be With You,Jeff Buckley,C,97
I Want To Break Free,Mr. Big,A,79
Disarm,Queen,A#m,155
House Of The Rising Sun,The Smashing Pumpkins,Am,117
The Sound Of Silence,The Animals,Gm,129
Big Yellow Taxi,Disturbed,E,158
Mr Loverman,Joni Mitchell,G,145
The Greatest Showman - A Million Dreams,Ricky Montgomery,G,148
Ill Fly Away,Misc Soundtrack,F#,113
O Brother Where Art Thou - I Am A Man Of Constant Sorrow,Albert E. Brumley,F,86
1 Step Forward 3 Steps Back,Misc Soundtrack,D,169
I Drink Wine,Soggy Bottom Boys,G#,155
Tennessee Orange,Olivia Rodrigo,C,71
Worlds Smallest Violin,Adele,F,116
Golden Slumbers,Megan Moroney,C,81
Thats Alright Mama,Learke,A,104
High Hopes,The Beatles,F,82
Lover You Shouldve Come Over,Elvis Presley,G,78
Trouble,Kodaline,Bm,120
Turning Tables,Jeff Buckley,D#,78
We Will Rock You,Coldplay,E,81
Put Your Head On My Shoulder,Adele,G,140
Motion Sickness,Queen,D#m,90
Follow You To Virgie,Paul Anka,A#,79
So This Is Christmas,Phoebe Bridgers,D,46
The Greatest Showman - This Is Me,Tyler Childers,D,96
Francis Forever,Acceptance,D,102
Idk You Yet,Misc Soundtrack,C#,77
My Future,Joe Jonas,Fm,162
Wasted On You,Mitski,Bm,98
When We Are Together,Alexander 23,B,133
My Mind And Me,Billie Eilish,A,144
Mamma Mia - Our Last Summer,Morgan Wallen,G,96
Happy Together,The 1975,B,118
Teardrops On My Guitar,Selena Gomez,A#,100
Tougher Than The Rest,Bruce Springsteen,F,99
Chasing Cars,Snow Patrol,A,104
Penny Lane,The Beatles,F#m,113
Rolling In The Deep,Adele,G#,105
Breathe,Pink Floyd,Bm,128
Wayfaring Stranger,Johnny Cash,Am,119
Lodi,Creedence Clearwater Revival,F,131
Angie,The Rolling Stones,Am,132
Dont Stop Believin,Journey,E,119
Broken Halos,Chris Stapleton,G#,78
Let It Snow,Misc Christmas,D,150
Half A Man,Dean Lewis,C,78
I See Fire,Ed Sheeran,A#m,76
What A Beautiful Name,Hillsong Worship,Bm,136
Here Comes The Sun,The Beatles,A,129
Wild Horses,The Rolling Stones,G,75
Leave The Door Open,Silk Sonic,F,148
Sun To Me,Bruno Mars,C,80
Oklahoma Smokeshow,Anderson .Paak,G#,123
Youll Never Leave Harlan Alive,Zach Bryan,Dm,73
Mother,Darrell Scott,C,146
Psycho Killer,Maroon 5,D,123
Beat It,Pink Floyd,F,170
Everybodys Changing,Talking Heads,G#,132
Fairytale Of New York,Michael Jackson,D,101
Do They Know Its Christmas,Keane,C,115
Blister In The Sun,Pogues,C,97
500 Miles,Kirsty MacColl,A,98
Shut Up And Dance,Band Aid 20,G#,128
Pluto Projector,Violent Femmes,F,80
Late Night Talking,"Peter, Paul and Mary",D#,102
Chamber Of Reflection,Rex Orange County,G#m,66
It Will Rain,Harry Styles,D,150
No Longer Slaves,Oasis,G,95
Gangstas Paradise,Mac DeMarco,Cm,140
To Build A Home,Bruno Mars,A,148
Learn To Fly,Bethel Music,C,138
Always On My Mind,Coolio,A#m,94
For No One,The Cinematic Orchestra,C#,110
Noel,Patrick Watson,Bm,138
Re Stacks,Foo Fighters,D,125
I Say A Little Prayer,Elvis Presley,A,133
Dont Know Why,The Beatles,D,113
Kiss From A Rose,Chris Tomlin,C,56
Bitter Sweet Symphony,Lauren Daigle,A,125
Budapest,Bon Iver,F,120
Angel From Montgomery,Aretha Franklin,F,86
Wichita Lineman,Norah Jones,D#,138
Dont You Forget About Me,Simple Minds,A,111
My Immortal,Evanescence,A,76
Baby,Justin Bieber,D,130
Winter Wonderland,Misc Christmas,A,113
Old Macdonald Had A Farm,Misc Children,F,110
Rest On Us,Maverick City Music,A#,144
Seventeen Going Under,UPPERROOM,C#,162
Family Line,Sam Fender,F#,154
Growing Sideways,Conan Gray,G,105
Someday,Noah Kahan,A,118
Sweet Creature,The Strokes,G,104
Happy,Harry Styles,Gm,124
Angels We Have Heard On High,Pharrell Williams,F,104
How To Disappear Completely,Misc Christmas,B,67
All You Need Is Love,Radiohead,G,103
Hotel California,The Beatles,D,147
Do I Wanna Know,Eagles,G,111
I Was Made For Lovin You,Pogues,A,124
Fallin,KISS,C#,124
Melissa,Alicia Keys,C#,104
Mr Blue Sky,The Allman Brothers Band,E,94
Lucky,Electric Light Orchestra,F,148
Little Do You Know,Jason Mraz,B,151
Neon Moon,Colbie Caillat,B,95
The Drugs Dont Work,Alex & Sierra,C,77
Lose Yourself,Brooks & Dunn,E,95
Crazy Little Thing Called Love,Eminem,C,77
Youll Be In My Heart,Grover Washington Jr.,A#m,99
Stacys Mom,Bill Withers,A,98
Hallucinogenics,Queen,G#m,116
2002,Phil Collins,F,115
Landslide,Fountains of Wayne,A,155
I Am The Highway,Matt Maeson,C,121
Say Yes,Lana Del Rey,F,153
Lost Boy,Anne-Marie,B,120
Use Somebody,Fleetwood Mac,C,124
Free Fallin,Audioslave,F#,120
O Holy Night,Elliott Smith,C,125
Is This Love,Ruth B.,F#m,89
I Cant Make You Love Me,Kings of Leon,Gm,123
The Sound Of Silence,Misc Christmas,F#m,86
Riders On The Storm,Bob Marley,Cm,88
L-O-V-E,Simon & Garfunkel,Cm,99
Cant Help Falling In Love,The Doors,D,174
Go Tell It On The Mountain,Neil Diamond,C,99
Cups,Anna Kendrick,C,130
Lost Boy,Ruth B.,G,124
This Is Amazing Grace,Phil Wickham,A#,98
Break My Heart Again,FINNEAS,Em,144
Chasin You,Morgan Wallen,G,97
I Speak Jesus,Here Be Lions,C,148
Your New Boyfriend,Wilbur Soot,G,105
Deja Vu,Olivia Rodrigo,D,90
Call Me Maybe,Carly Rae Jepsen,G,120
Wake Me Up,Avicii,D,124
Naive,The Kooks,G#m,104
Flume,Bon Iver,B,133
Lua,Bright Eyes,D,105
Twelve Days Of Christmas,Misc Christmas,A#,115
Bad Day,Daniel Powter,A#m,174
Aashiqui 2 - Tum Hi Ho,Misc Soundtrack,Fm,94
Folsom Prison Blues,The Beatles,C,111
The Reason,Johnny Cash,E,83
When You Say Nothing At All,Hoobastank,D#,172
Happy Xmas War Is Over,Ronan Keating,D,146
Im On Fire,John Lennon,E,80
Friend Of The Devil,Bruce Springsteen,G,86
On The Road Again,Grateful Dead,C,140
White Christmas,Willie Nelson,C,115
Way Down We Go,Bing Crosby,A#m,163
San Francisco,Kaleo,C#,120
Ill Be There For You,Scott McKenzie,A,95
No Rain,The Rembrandts,B,80
Shake It Off,Blind Melon,G,160
Have Yourself A Merry Little Christmas,Taylor Swift,G#,69
La Vie En Rose,Misc Christmas,F#,88
Interstate Love Song,Daniela Andrade,G#m,80
Baby Can I Hold You,Stone Temple Pilots,C#,144
Hallelujah,Tracy Chapman,Fm,126
I Dont Want To Talk About It,Leonard Cohen,B,132
Sundown,Rod Stewart,D,75
Steven Universe - Love Like You,Gordon Lightfoot,Cm,118
Waiting Room,Misc Cartoons,D,130
Bad Liar,Phoebe Bridgers,C#,121
Sofia,Imagine Dragons,D#,90
All My Ghosts,Clairo,D,127
Hells Comin With Me,Lizzy McAlpine,Em,130
Erase Me,Poor Man's Poison,Em,130
Shape Of You,Lizzy McAlpine,B,142
Landslide,Ed Sheeran,A#,145
Hero,Brett Young,D#,88
We Are The World,Fleetwood Mac,E,73
The Christmas Song Chestnuts Roasting On An Open Fire,Enrique Iglesias,Fm,66
I Dont Love You,My Chemical Romance,C,170
Come As You Are,Nirvana,Fm,119
If I Fell,The Beatles,D,108
Brain Damage,Pink Floyd,D,134
Under Pressure,Queen,D,114
One,David Bowie,G,112
Ziggy Stardust,Lady Gaga,G,80
Learning To Fly,David Bowie,Em,101
Imagine,Tom Petty and The Heartbreakers,A,81
Lets Stay Together,John Lennon,Gm,102
All I Want For Christmas Is You,Al Green,D,150
The Passenger,Mariah Carey,C,135
Happy Birthday,Iggy Pop,D,115
Bubble Gum,Misc Traditional,B,94
17 Sinterklaasliedjes,Clairo,B,110
Shotgun,Misc Children,D,149
Save Me,George Ezra,F,128
Another Love,"Jelly Roll (US, Nashville, TN)",B,105
Something Just Like This,Tom Odell,Bm,112
Japanese Denim,The Chainsmokers,D#,124
Anyone Else But You,Daniel Caesar,Em,74
How He Loves,The Moldy Peaches,D,168
Everlong,David Crowder*Band,C#,94
Friends In Low Places,Creedence Clearwater Revival,A,111
Purple Rain,Garth Brooks,A,114
I Will,Prince,G,86
Suzanne,The Beatles,F#m,132
Read All About It Pt Iii,Leonard Cohen,Em,109
Wonderful Tonight,Emeli Sandé,D,98
Should I Stay Or Should I Go,Eric Clapton,D,113
Heaven Knows Im Miserable Now,The Clash,F#,114
I Just Called To Say I Love You,The Smiths,C,116
Every Breath You Take,Stevie Wonder,A,120
God Only Knows,The Police,G#,80
Whiskey In The Jar,The Beach Boys,A#,133
I Have Nothing,The Dubliners,Bm,143
My Girl,Whitney Houston,C,82
Til You Cant,The Temptations,F,106
Merry Christmas,Cody Johnson,D,105
Nonsense,Ed Sheeran,C#,142
Great Are You Lord,Sabrina Carpenter,D#m,120
Stairway To Heaven,All Sons & Daughters,G,87
Stubborn Love,Led Zeppelin,C,115
Colors Of The Wind,Alicia Keys,C#,82
Tangled - When Will My Life Begin,Vanessa Williams,E,108
Only Ones Who Know,Misc Cartoons,F,170
Bed Of Roses,Mandy Moore,F,165
Hound Dog,Elvis Presley,A,176
Youve Got To Hide Your Love Away,The Beatles,G,92
Nowhere Man,The Beatles,E,120
Enter Sandman,Metallica,F#m,123
Wild World,Cat Stevens,C,152
One Call Away,Charlie Puth,C#,91
Soldier Of Fortune,Deep Purple,Dm,67
Man On The Moon,R.E.M.,D#,104
Into The Mystic,Van Morrison,D#,85
Dont Know Why,Norah Jones,F,176
There She Goes,The La's,G,123
When It Rains It Pours,Luke Combs,F#,128
Dumb,Nirvana,B,114
Payphone,Jayesslee,C,105
Revenge,XXXTENTACION,Bm,140
The Kind Of Love We Make,Luke Combs,C#,102
R U Mine,Arctic Monkeys,F#m,97
What Makes You Beautiful,One Direction,E,125
Bring Me To Life,Evanescence,Em,95
Remember When,Alan Jackson,D,126
Bloom,The Paper Kites,C#,96
What Are You Listening To,Chris Stapleton,A#,162
Rivers And Roads,The Head and the Heart,C,136
Georgia,Phoebe Bridgers,D,102
Auld Lang Syne,Misc Traditional,D,102
Drive,cavetown,Am,95
Tonight Tonight,Incubus,Bm,154
In Bloom,The Smashing Pumpkins,C#,131
Wonderful World,Nirvana,E,130
Here Without You,Sam Cooke,Am,144
She Loves You,3 Doors Down,C,92
You Shook Me All Night Long,The Beatles,G,127
Kryptonite,AC/DC,G,99
Little Wing,3 Doors Down,F#,71
One More Light,Jimi Hendrix,G#,176
Forever Young,Linkin Park,Am,140
Dancing In The Dark,Alphaville,G#,125
A Case Of You,Bruce Springsteen,G#,125
Still,Joni Mitchell,G,100
Marys Boy Child,Hillsong Worship,A#,106
O Re Piya,Misc Christmas,C#,128
Show Me How,Rahat Fateh Ali Khan,A#,96
Death Bed Coffee For Your Head,Men I Trust,G#m,144
Ghost Town,Powfu,D,136
Homesick,Benson Boone,A,81
Little Black Submarines,Noah Kahan,G,75
Redbone,The Black Keys,C#,160
I Love Rock N Roll,Childish Gambino,D#,97
Hero Of War,Rise Against,E,77
My Hero,Foo Fighters,A,77
Rape Me,Nirvana,F#,113
Gimme Gimme Gimme,ABBA,A#,120
Are You Lonesome Tonight,Elvis Presley,C,73
Two Of Us,The Beatles,G,109
Hey You,Pink Floyd,C,112
I Can See Clearly Now,Johnny Nash,D,123
Atlantic City,Bruce Springsteen,E,108
Sister Golden Hair,America,E,141
The Nights,Avicii,F#,116
No1 Party Anthem,Arctic Monkeys,C,115
Snap Out Of It,Arctic Monkeys,Fm,130
Forever And Ever Amen,Randy Travis,D,90
The Dance,Garth Brooks,G,135
Gentle On My Mind,Glen Campbell,D#,108
The Middle,Jimmy Eat World,D,162
La Bamba,Ritchie Valens,C,75
I Will Always Love You,Whitney Houston,E,136
I Want To Know What Love Is,Foreigner,F#,81
Id Rather Go Blind,Etta James,Bm,83
Sunny,Bobby Hebb,Em,128
Cowboy Like Me,Taylor Swift,C,128
Off My Face,Justin Bieber,E,91
Waste,Kxllswxtch,G,132
Thered Better Be A Mirrorball,Arctic Monkeys,D#,144
Silver Tongues,Louis Tomlinson,D,160
I Miss You,Blink-182,B,110
Keep The Wolves Away,Uncle Lucius,C#m,122
Highwayman,The Highwaymen,D,101
Decode,Paramore,A#m,164
Need You Now,Lady A (Lady Antebellum),E,108
Above All,Michael W. Smith,A#,67
Wake Me Up When September Ends,Green Day,G,105
Iris (ver 13),Goo Goo Dolls,Bm,157
If You Could Read My Mind,Gordon Lightfoot,A,123
American Idiot,Green Day,C#,93
Fix You,Coldplay,D#,138
Angie,The Rolling Stones,Am,132
Working Class Hero,John Lennon,G,159
Vincent,Don McLean,G,92
Youre So Vain,Carly Simon,Am,106
Love Hurts,Nazareth,G,80
I Have A Dream,ABBA,A#,105
Time After Time,Cyndi Lauper,C,130
New York State Of Mind,Billy Joel,C,121
Islands In The Stream,Kenny Rogers,G#,102
Love Is A Laserquest,Dolly Parton,G#,90
Washing Machine Heart,Arctic Monkeys,D,92
I See Red,Everybody Loves an Outlaw,Em,157
Doomsday,Lizzy McAlpine,C#,135
Mandaaram Kathawe,Anushka Udana,Dm,82
Blue Jeans,Amith Guru,G,105
End Of The Line,Wasthi,D,167
Ophelia,Louis Tomlinson,D#,134
Paparazzi,Lana Del Rey,Em,91
Dannys Song,Traveling Wilburys,D,167
Ivy,Lady Gaga,G,96
Fields Of Gold,Loggins & Messina,D,95
In The Ghetto,Jason Isbell,A#,89
New York New York,Sting,A,102
Bring It On Home To Me,Elvis Presley,A,108
Grow Old With You,Frank Sinatra,F#,67
O Christmas Tree,Sam Cooke,D,140
In The Bleak Midwinter,Nancy Sinatra,C#,129
Bags,Adam Sandler,C#m,124
I Thank God,Misc Christmas,C#,130
The Sound Of Music - My Favorite Things,Misc Christmas,Fm,114
Where The Crawdads Sing - Carolina,Christina Rossetti,Bm,116
Vigilante Shit,Gustav Holst,Gm,148
Knockin On Heavens Door,Clairo,C,132
Say You Wont Let Go,Maverick City Music,C,107
Hello,Misc Musicals,A,89
Hold On,Julie Andrews,D#,107
Stone Cold,Rodgers & Hammerstein,D,124
Iris,Misc Soundtrack,D,124
Born To Run,Taylor Swift,G#,120
Sk8Er Boi,Taylor Swift,C,150
Cant Buy Me Love,Guns N' Roses,C,142
New Kid In Town,James Arthur,C#,165
Knockin On Heavens Door,Lifehouse,C,132
Its All Over Now Baby Blue,Adele,D,112
Another One Bites The Dust,Chord Overstreet,Fm,110
Underneath The Tree,Demi Lovato,G#,160
Paranoid,Goo Goo Dolls,D,164
Self Control,Bruce Springsteen,D,84
Hostage,The Beatles,F#m,95
Jimmy,Eagles,Em,107
We Three Kings,Bob Dylan,Em,119
I Think I Like When It Rains,Bob Dylan,A,124
The Blessing,Queen,B,140
Right Where You Left Me,Kelly Clarkson,Am,160
Fingers Crossed,Black Sabbath,C,158
Lovesong,The Cure,Am,140
Back To December,Taylor Swift,D,110
Misery Business,Paramore,G#,173
Free Fallin,John Mayer,F,174
Bruises,Lewis Capaldi,E,111
Rudolph The Red-Nosed Reindeer,Misc Christmas,C,164
Red,Taylor Swift,C#m,125
Today,The Smashing Pumpkins,G#,83
One Of Us,Joan Osborne,A,87
Electric Love,BØRNS,A,116
Be Thou My Vision,Misc Praise Songs,G,83
Soldier Poet King,The Oh Hellos,G#,118
Sunday Morning Coming Down,Johnny Cash,G#,76
Tangled Up In Blue,Bob Dylan,A,101
Blowin In The Wind,Bob Dylan,D,89
Carol Of The Bells,Pentatonix,Cm,172
When The Sun Goes Down,Arctic Monkeys,Bm,169
Love Will Tear Us Apart,Joy Division,D,147
Mr Bojangles,Jerry Jeff Walker,D,168
Annies Song,John Denver,C,138
Rehab,Amy Winehouse,C,72
River,Leon Bridges,G#,128
Pinkfong - Baby Shark,Misc Children,G#,115
Whiskey Glasses,Morgan Wallen,F#,150
Forever,Lewis Capaldi,C#,85
Graceland Too,Phoebe Bridgers,A#,150
Jireh,Elevation Worship,D#,140
Getting Older,Billie Eilish,A#,160
Daydream,Lily Meola,Fm,92
How Could You,Jessie Murph,B,147
Wildflowers,Tom Petty,A,111
Ang Huling El Bimbo,Eraserheads,F#,89
Besame Mucho,Andrea Bocelli,Fm,95
Million Years Ago,Adele,C#m,106
Firework,Katy Perry,G#,124
Welcome To The Black Parade,My Chemical Romance,D,97
Friends In Low Places,Garth Brooks,A,108
Goodbye My Lover,James Blunt,E,94
Wild Thing,The Troggs,A,102
Best Of You,Foo Fighters,C#m,130
Thunder Road,Bruce Springsteen,F,140
Jesus Etc,Wilco,F,109
The Story,Brandi Carlile,B,94
Billie Jean,Michael Jackson,Bm,117
Rhiannon,Fleetwood Mac,Am,129
Royals,Lorde,G,85
Brothers In Arms,Dire Straits,G#m,79
Take Me Out,Franz Ferdinand,Em,105
Rise Up,Andra Day,C#,119
The Final Countdown,Europe,F#m,118
Let Her Cry,Hootie & the Blowfish,G,143
The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot,E,93
Turning Page,Sleeping at Last,D#,115
Get You,Daniel Caesar,Em,74
I Wish It Could Be Christmas Everyday,Kali Uchis,Bm,84
Leise Rieselt Der Schnee,Wizzard,D,106
Night Shift,Misc Christmas,Fm,126
Wie Schön Daß Du Geboren Bist,Lucy Dacus,G,126
A Star Is Born - Ill Never Love Again,Rolf Zuckowski,G,109
Norman Fucking Rockwell Album,Misc Soundtrack,F,78
Stand Up,Lady Gaga,C#,99
Chinese Satellite,Bradley Cooper,A#,136
Mirrorball,Lana Del Rey,A,76
The Joker And The Queen,Phoebe Bridgers,B,131
Js Lullaby Darlin Id Wait For You,Taylor Swift,C,110
Im Not The Only One,Taylor Swift,F,82
Stressed Out,Ed Sheeran,F#,90
Life Is A Highway,Taylor Swift,F,103
Its Been Awhile,Delaney Bailey,A,107
Born To Die,Sam Smith,G,95
Rockin In The Free World,twenty one pilots,Em,131
Cyclone,Rascal Flatts,C,89
Hymn For The Weekend,Staind,Cm,90
House Of Memories,Lana Del Rey,C#m,112
Picture,Neil Young,C,96
Love Is A Losing Game,Sticky Fingers,C,165
O Little Town Of Bethlehem,Coldplay,D,99
I Knew You Were Trouble,Beyoncé,F#,154
Worthy Is The Lamb,Panic! At the Disco,G,132
The Last Goodbye,Kid Rock,E,129
The End Of The World,Sheryl Crow,A#,94
City Of New Orleans,Amy Winehouse,Fm,97
Honky Tonk Women,Misc Christmas,G#,135
I Cant Get No Satisfaction,Taylor Swift,Am,102
Good Old Fashioned Lover Boy,Darlene Zschech,D#,97
Simple Man,Skeeter Davis,F#,120
Homeward Bound,Arlo Guthrie,Em,129
Rocky Mountain High,The Rolling Stones,G,122
She Talks To Angels,The Rolling Stones,E,160
In The Air Tonight,Queen,C,95
Pancho And Lefty,Queen,D,123
All I Have To Do Is Dream,Lynyrd Skynyrd,G,76
True Colors,Simon & Garfunkel,F#,91
Christmas Time,John Denver,C,122
Bad Guy,The Black Crowes,A#m,160
All The Good Girls Go To Hell,Phil Collins,Em,105
The Adults Are Talking,Willie Nelson,C#,109
Colors,Black Pumas,C#m,90
Coraline,Måneskin,Dm,162
Male Fantasy,Billie Eilish,D,111
Top Gun Maverick - Hold My Hand,Misc Soundtrack,G,148
Hits Different,Lady Gaga,A#m,131
Rockstar,Taylor Swift,G#,110
Dani California,Nickelback,Am,120
Sleep On The Floor,Red Hot Chili Peppers,G#,121
Chicken Fried,The Lumineers,F#,170
I Dont Want To Set The World On Fire,Zac Brown Band,A#m,89
Here Comes Your Man,The Ink Spots,A#,117
Je Veux,U2,C,88
Mary Did You Know,Zaz,Bm,105
You Got It,Pentatonix,Bm,105
Just,Roy Orbison,E,135
Thunderstruck,Radiohead,D#,107
Sitting Waiting Wishing,AC/DC,Am,100
Dead Flowers,Jack Johnson,D,130
Cocaine,The Rolling Stones,G#,136
Beer,Eric Clapton,Dm,94
Alone Again Naturally,Itchyworms,G#m,172
Stand By Me,Gilbert O'Sullivan,G,104
Moondance,Ben E. King,A#m,95
Crazy,Van Morrison,D,77
Black Velvet,Patsy Cline,A#,108
Thats Christmas To Me,Alannah Myles,F#,79
