name,author_name,scale_x,bpm_x,scale_y,capo,chords,bpm_y,new_scale,new_bpm,Freq_map
Fairytale Of New York,Radiohead,D,101,D,no capo,"['D', 'G/D', 'A', 'Asus4/E', 'G', 'G/A', 'Asus4', 'Bm']",NF,D,101,"{'C': 69, 'F/C': 10, 'G': 34, 'Gsus4/D': 4, 'F': 26, 'F/G': 5, 'Gsus4': 1, 'Am': 10}"
Accidentally In Love,Pogues,G,138,Key Not Find,no capo,"['G', 'C', 'D', 'Em', 'A', 'Am']",138 bpm,G,138 bpm,"{'C': 31, 'F': 36, 'G': 23, 'Am': 16, 'D': 7, 'Dm': 13}"
You Are My Sunshine,Johnny Cash,A,90,A,no capo,"['A', 'D', 'E', 'A/D', 'A/C#']",80 bpm,A,80 bpm,"{'C': 33, 'F': 12, 'G': 6, 'C/F': 1, 'C/E': 1}"
Santa Tell Me,Ariana Grande,G,96,G,no capo,"['G', 'C', 'Em', 'D', 'Bm', 'D#', 'F#m']",NF,G,96,"{'C': 26, 'F': 25, 'Am': 14, 'G': 16, 'Em': 2, 'G#': 1, 'Bm': 1}"
The 30Th,Billie Eilish,G,83,G,no capo,"['G', 'D', 'Em', 'Am', 'C', 'Cm', 'B7']",72 bpm,G,72 bpm,"{'C': 24, 'G': 17, 'Am': 23, 'Dm': 8, 'F': 12, 'Fm': 3, 'E7': 7}"
Suspicious Minds,Elvis Presley,G,117,G,no capo,"['G', 'C', 'D', 'Bm', 'D7', 'Em', 'B7sus4', 'B7']",116 bpm,G,116 bpm,"{'C': 18, 'F': 29, 'G': 13, 'Em': 8, 'G7': 5, 'Am': 4, 'E7sus4': 1, 'E7': 1}"
Peaceful Easy Feeling,Eagles,E,143,E,2nd fret,"['D', 'Dsus4', 'G', 'A7', 'Em']",143 bpm,E,143 bpm,"{'C': 47, 'Csus4': 8, 'F': 41, 'G7': 24, 'Dm': 13}"
Stitches,Shawn Mendes,C#,150,A#m,1st fret,"['Am', 'G', 'C', 'F']",150 bpm,C#,150 bpm,"{'Am': 30, 'G': 32, 'C': 26, 'F': 29}"
Numb,Linkin Park,A,110,F#m,2nd fret,"['Em', 'C', 'G', 'D', 'D/F#', 'Bm7', 'B', 'Bsus4']",110 bpm,A,110 bpm,"{'Am': 19, 'F': 21, 'C': 19, 'G': 22, 'G/B': 1, 'Em7': 1, 'E': 1, 'Esus4': 1}"
No Se Va,Grupo Frontera,C,173,Key Not Find,no capo,"['F', 'Am', 'C', 'G']",NF,C,173,"{'F': 16, 'Am': 19, 'C': 16, 'G': 16}"
Complicated,Avril Lavigne,F,78,Dm,no capo,"['Dm', 'A#', 'F', 'C', 'Gm']",78 bpm,F,78 bpm,"{'Am': 25, 'F': 32, 'C': 23, 'G': 25, 'Dm': 4}"
All My Loving,The Beatles,C#m,78,Em,2nd fret,"['Em', 'A7', 'D', 'Bm', 'G', 'C', 'A', 'A#aug']",156 bpm,C#m,156 bpm,"{'Dm': 10, 'G7': 9, 'C': 19, 'Am': 12, 'F': 7, 'A#': 3, 'G': 4, 'G#aug': 4}"
Karma,Taylor Swift,G#,90,Key Not Find,1st fret,"['D', 'Am7', 'C', 'G', 'Bm', 'F#m', 'A']",NF,G#,90,"{'G': 17, 'Dm7': 16, 'F': 17, 'C': 17, 'Em': 1, 'Bm': 1, 'D': 1}"
Torn,Natalie Imbruglia,F,96,F,no capo,"['F', 'Fsus4', 'Fsus2', 'Am', 'A#', 'Dm', 'C']",96 bpm,F,96 bpm,"{'C': 28, 'Csus4': 1, 'Csus2': 1, 'Em': 8, 'F': 18, 'Am': 18, 'G': 24}"
Summer Of 69,Bryan Adams,D,139,D,no capo,"['D', 'A', 'D', 'A', 'Bm', 'G', 'F', 'A#', 'C', 'A#/D']",138 bpm,D,138 bpm,"{'C': 31, 'G': 30, 'Am': 9, 'F': 6, 'D#': 2, 'G#': 2, 'A#': 2, 'G#/C': 1}"
Proud Mary,Creedence Clearwater Revival,D,121,D,no capo,"['C', 'A', 'G', 'F', 'F6', 'D', 'Bm']",120 bpm,D,120 bpm,"{'A#': 9, 'G': 14, 'F': 3, 'D#': 9, 'D#6': 3, 'C': 28, 'Am': 5}"
Ceilings,Lizzy McAlpine,A,148,Key Not Find,2nd fret,"['C', 'Em', 'G', 'D', 'B7']",148 bpm,A,148 bpm,"{'F': 20, 'Am': 9, 'C': 10, 'G': 16, 'E7': 1}"
Run Away To Mars,TALK,A,119,Key Not Find,2nd fret,"['G', 'D', 'Em7', 'Cadd9', 'Em', 'Am7', 'Dsus4', 'Am']",NF,A,119,"{'C': 27, 'G': 23, 'Am7': 3, 'Fadd9': 17, 'Am': 15, 'Dm7': 6, 'Gsus4': 3, 'Dm': 4}"
I Love You,Billie Eilish,C,137,C,no capo,"['Fmaj7', 'Cadd9', 'C', 'Dm', 'G', 'Am']",138 bpm,C,138 bpm,"{'Fmaj7': 18, 'Cadd9': 12, 'C': 6, 'Dm': 4, 'G': 4, 'Am': 3}"
Save Your Tears,The Weeknd,C,118,C,no capo,"['C', 'Am', 'Em', 'G', 'Dm', 'F', 'F/G']",118 bpm,C,118 bpm,"{'C': 23, 'Am': 25, 'Em': 22, 'G': 23, 'Dm': 3, 'F': 3, 'F/G': 2}"
The Perfect Pair,beabadoobee,B,146,Key Not Find,no capo,"['G#m', 'G#mmaj7', 'G#m7', 'Emaj7/F', 'Emaj7', 'Emaj7/B', 'Emaj7/G#']",NF,B,146,"{'Am': 12, 'Ammaj7': 12, 'Am7': 11, 'Fmaj7/F#': 11, 'Fmaj7': 10, 'Fmaj7/C': 10, 'Fmaj7/A': 9}"
Black Panther Wakanda Forever - Lift Me Up,Misc Soundtrack,A,89,A,no capo,"['A', 'Bm', 'E7', 'F#m7']",NF,A,89,"{'C': 25, 'Dm': 17, 'G7': 17, 'Am7': 5}"
Friday Im In Love,Oasis,C#,148,D,no capo,"['D', 'G', 'A', 'Bm', 'C']",136 bpm,C#,136 bpm,"{'C#': 30, 'F#': 20, 'G#': 24, 'A#m': 14, 'B': 4}"
Island In The Sun,The Cure,A#,136,Em,no capo,"['Em', 'Am', 'D', 'G', 'C']",115 bpm,A#,115 bpm,"{'F#m': 40, 'Bm': 42, 'E': 46, 'A': 44, 'D': 2}"
August,Weezer,G#,92,F,3rd fret,"['D', 'G', 'Em', 'A']",90 bpm,G#,90 bpm,"{'A': 22, 'D': 20, 'Bm': 20, 'E': 20}"
Apocalypse,Dido,Am,83,F,no capo,"['F', 'Dm', 'Am', 'C', 'A#', 'Gm7', 'Fmaj7', 'Gm']",94 bpm,Am,94 bpm,"{'F': 22, 'Dm': 15, 'Am': 11, 'C': 19, 'A#': 13, 'Gm7': 3, 'Fmaj7': 2, 'Gm': 1}"
Afterglow,Cigarettes After Sex,D#,94,B,4th fret,"['G', 'Cadd9', 'Dsus4', 'Em7']",110 bpm,D#,110 bpm,"{'G#': 17, 'C#add9': 22, 'D#sus4': 16, 'Fm7': 5}"
Favorite Crime,Ed Sheeran,E,103,A,2nd fret,"['G', 'Em', 'D', 'Cmaj7', 'Am']",90 bpm,E,90 bpm,"{'F': 12, 'Dm': 8, 'C': 9, 'A#maj7': 9, 'Gm': 2}"
Home,Olivia Rodrigo,D,146,Bm,2nd fret,"['Am', 'C', 'C/E', 'F', 'Dm', 'G']",112 bpm,D,112 bpm,"{'Am': 24, 'C': 49, 'C/E': 20, 'F': 25, 'Dm': 8, 'G': 8}"
I Walk The Line,Slipknot,A#,106,F,1st fret,"['B7', 'E', 'A', 'E7', 'D', 'A7', 'G']",212 bpm,A#,212 bpm,"{'D7': 6, 'G': 8, 'C': 10, 'G7': 6, 'F': 6, 'C7': 3, 'A#': 1}"
This Is The Life,Johnny Cash,C#m,94,C#m,4th fret,"['Am', 'F', 'C', 'Em']",190 bpm,C#m,190 bpm,"{'Am': 21, 'F': 17, 'C': 17, 'Em': 17}"
Video Games,Lana Del Rey,F#m,73,Em,2nd fret,"['Em', 'G', 'Bm', 'C', 'D', 'Dsus4', 'F', 'D#aug']",NF,F#m,73,"{'Am': 44, 'C': 30, 'Em': 14, 'F': 26, 'G': 5, 'Gsus4': 2, 'A#': 6, 'G#aug': 3}"
Highway To Hell,AC/DC,F#m,116,A,no capo,"['A', 'D/F#', 'G', 'E', 'D/A', 'D', 'Dsus4']",116 bpm,F#m,116 bpm,"{'C': 90, 'F/A': 75, 'A#': 42, 'G': 2, 'F/C': 20, 'F': 5, 'Fsus4': 3}"
Rises The Moon,liana flores,Fm,137,G,no capo,"['Am7', 'D7', 'Am', 'Cmaj7', 'F', 'Fm', 'C7']",137 bpm,Fm,137 bpm,"{'C#m7': 6, 'F#7': 4, 'C#m': 4, 'Emaj7': 13, 'A': 8, 'Am': 8, 'E7': 5}"
Beautiful Crazy,Luke Combs,B,103,B,4th fret,"['G', 'D/F#', 'Em7', 'D', 'C', 'Am7', 'G/B']",154 bpm,B,154 bpm,"{'C': 14, 'G/B': 13, 'Am7': 10, 'G': 15, 'F': 10, 'Dm7': 5, 'C/E': 4}"
The Times They Are A-Changin,Bob Dylan,G,172,G,no capo,"['D7', 'D6', 'G', 'Em', 'C', 'Am', 'D']",172 bpm,G,172 bpm,"{'G7': 6, 'G6': 6, 'C': 40, 'Am': 10, 'F': 20, 'Dm': 10, 'G': 25}"
Demons,Imagine Dragons,D#,90,D,1st fret,"['D', 'A', 'Bm', 'G']",90 bpm,D#,90 bpm,"{'C': 20, 'G': 16, 'Am': 16, 'F': 15}"
Blinding Lights,The Weeknd,C#,171,D#,3rd fret,"['Dm', 'Am', 'C', 'G', 'F', 'Em']",171 bpm,C#,171 bpm,"{'Em': 17, 'Bm': 17, 'D': 17, 'A': 22, 'G': 7, 'F#m': 7}"
Basket Case,Green Day,D#,88,D#,1st fret,"['E', 'A', 'D', 'G', 'B', 'Bm', 'F#m', 'C']",NF,D#,88,"{'D': 1, 'G': 43, 'C': 41, 'F': 25, 'A': 1, 'Am': 19, 'Em': 6, 'A#': 3}"
Frosty The Snowman,Misc Christmas,C,89,G,no capo,"['G', 'D7', 'C', 'D', 'Bm', 'Am', 'C#dim', 'Em']",144 bpm,C,144 bpm,"{'G': 30, 'D7': 7, 'C': 19, 'D': 5, 'Bm': 2, 'Am': 2, 'C#dim': 2, 'Em': 2}"
Shape Of You,Ed Sheeran,C#m,96,C#m,2nd fret,"['Bm', 'Em', 'G', 'A']",96 bpm,C#m,96 bpm,"{'Am': 44, 'Dm': 42, 'F': 42, 'G': 40}"
Dont Cry,Guns N' Roses,B,125,Key Not Find,no capo,"['Am', 'Dm', 'G', 'C', 'F']",NF,B,125,"{'A#m': 24, 'D#m': 12, 'G#': 24, 'C#': 15, 'F#': 12}"
She Used To Be Mine,Sara Bareilles,F,136,F,no capo,"['F', 'C', 'Dm', 'A#', 'A7/C#', 'Dm/C']",130 bpm,F,130 bpm,"{'C': 12, 'G': 7, 'Am': 10, 'F': 10, 'E7/G#': 3, 'Am/G': 1}"
Wind Of Change,Scorpions,C,75,C,no capo,"['F', 'Dm', 'Am', 'G', 'C', 'E']",76 bpm,C,76 bpm,"{'F': 14, 'Dm': 35, 'Am': 23, 'G': 40, 'C': 29, 'E': 4}"
Wild Horses,The Rolling Stones,G,140,C,no capo,"['G', 'Am7', 'Bm', 'C', 'D', 'F', 'F/C']",72 bpm,G,72 bpm,"{'C': 33, 'Dm7': 17, 'Em': 18, 'F': 28, 'G': 23, 'A#': 8, 'A#/F': 2}"
Heading South,Zach Bryan,E,110,Key Not Find,4th fret,"['Am', 'F', 'C', 'G']",200 bpm,E,200 bpm,"{'Am': 17, 'F': 17, 'C': 17, 'G': 17}"
Champagne Problems,Taylor Swift,C,171,C,no capo,"['C', 'G', 'Am', 'F']",85 bpm,C,85 bpm,"{'C': 19, 'G': 19, 'Am': 19, 'F': 19}"
Say Something,A Great Big World,D,47,Am,2nd fret,"['Am', 'F', 'C', 'Gsus4', 'Em']",47 bpm,D,47 bpm,"{'Am': 15, 'F': 18, 'C': 21, 'Gsus4': 17, 'Em': 3}"
Yellow Submarine,Christina Aguilera,G,110,F#,no capo,"['G', 'D', 'C', 'Em', 'Am']",111 bpm,G,111 bpm,"{'C': 37, 'G': 35, 'F': 19, 'Am': 9, 'Dm': 9}"
Lean On Me,The Beatles,C,75,C,no capo,"['C', 'F', 'Em', 'G9', 'G7', 'G']",75 bpm,C,75 bpm,"{'C': 44, 'F': 14, 'Em': 7, 'G9': 1, 'G7': 11, 'G': 5}"
Both Sides Now,Bill Withers,Em,78,G,no capo,"['G', 'Am', 'C', 'Gmaj7', 'Am7', 'D', 'Bm', 'D7']",NF,Em,78,"{'C': 74, 'Dm': 12, 'F': 58, 'Cmaj7': 6, 'Dm7': 6, 'G': 10, 'Em': 4, 'G7': 4}"
7 Years,Joni Mitchell,D,142,Gm,3rd fret,"['Em', 'G', 'C', 'D', 'G/B', 'Bsus4', 'B']",NF,D,142,"{'Fm': 29, 'G#': 25, 'C#': 29, 'D#': 39, 'G#/C': 3, 'Csus4': 1, 'C': 1}"
Come As You Are,Lukas Graham,A,82,Key Not Find,no capo,"['F#m', 'E', 'A', 'Bm', 'D', 'F#sus4']",120 bpm,A,120 bpm,"{'Am': 42, 'G': 30, 'C': 12, 'Dm': 10, 'F': 10, 'Asus4': 1}"
La La Land - City Of Stars,Neil Young,F#m,98,Gm,no capo,"['Gm', 'C', 'Dm', 'F', 'F/E', 'Dm7', 'A', 'A#']",100 bpm,F#m,100 bpm,"{'A#m': 11, 'D#': 10, 'Fm': 8, 'G#': 5, 'G#/G': 2, 'Fm7': 6, 'C': 6, 'C#': 4}"
Mr Tambourine Man,Coldplay,D,120,F,3rd fret,"['D', 'Dsus2', 'G', 'A']",NF,D,120,"{'D#': 66, 'D#sus2': 4, 'G#': 73, 'A#': 36}"
The Twilight Saga New Moon - Rosyln,Bryan Adams,A#m,160,Key Not Find,no capo,"['F', 'C', 'G', 'Dm7', 'Am', 'G2', 'G']",160 bpm,A#m,160 bpm,"{'E': 11, 'B': 12, 'F#': 3, 'C#m7': 7, 'G#m': 4, 'F#2': 1}"
Bigger Than The Whole Sky,Labrinth,B,145,F#,no capo,"['F#', 'C#', 'G#m', 'B']",NF,B,145,"{'G': 18, 'D': 18, 'Am': 18, 'C': 18}"
Supermarket Flowers,Red Hot Chili Peppers,F#,90,C,6th fret,"['C', 'Dm', 'Em', 'F', 'Am', 'G', 'Dm7', 'Fadd9']",90 bpm,F#,90 bpm,"{'C': 38, 'Dm': 5, 'Em': 20, 'F': 36, 'Am': 11, 'G': 25, 'Dm7': 3, 'Fadd9': 2}"
Be Alright,Bing Crosby,D#,104,G#m,4th fret,"['Em', 'C', 'G', 'D']",64 bpm,D#,64 bpm,"{'Fm': 25, 'C#': 24, 'G#': 20, 'D#': 28}"
Away In A Manger,Ed Sheeran,E,123,G,no capo,"['G', 'G7', 'C', 'D', 'D7', 'Am']",100 bpm,E,100 bpm,"{'D#': 21, 'D#7': 6, 'G#': 9, 'A#': 6, 'A#7': 6, 'Fm': 3}"
Havana,Misc Christmas,Am,123,Gm,3rd fret,"['Em', 'C', 'B7']",105 bpm,Am,105 bpm,"{'Gm': 48, 'D#': 44, 'D7': 46}"
I Wont Back Down,Stevie Wonder,D#,113,G,no capo,"['Em', 'D', 'G', 'C']",114 bpm,D#,114 bpm,"{'C#m': 29, 'B': 45, 'E': 49, 'A': 20}"
Ghost,Young Thug,G#,158,D,no capo,"['Bm', 'G', 'D', 'A', 'Em', 'F#m']",77 bpm,G#,77 bpm,"{'D#m': 21, 'B': 23, 'F#': 20, 'C#': 22, 'G#m': 2, 'A#m': 2}"
Ho Hey,Lizzy McAlpine,B,170,C,no capo,"['C', 'F', 'Am', 'G']",80 bpm,B,80 bpm,"{'C#': 36, 'F#': 32, 'A#m': 11, 'G#': 14}"
Little Drummer Boy,Misc Christmas,D,104,G#,1st fret,"['G', 'C', 'D']",100 bpm,D,100 bpm,"{'F#': 29, 'B': 12, 'C#': 11}"
Fake Plastic Trees,Radiohead,D,74,A,no capo,"['A', 'F#m7', 'E', 'E6', 'D5', 'Bm7', 'Asus']",NF,D,74,"{'G': 22, 'Em7': 6, 'D': 6, 'D6': 6, 'C5': 12, 'Am7': 10, 'Gsus': 8}"
Toxic,Britney Spears,G#,143,Am,3rd fret,"['Am', 'C', 'E7', 'F7', 'D', 'G', 'B7', 'A#7']",NF,G#,143,"{'Em': 42, 'G': 21, 'B7': 14, 'C7': 9, 'A': 1, 'D': 1, 'F#7': 9, 'F7': 9}"
No Time To Die,Billie Eilish,Em,74,Em,no capo,"['Em', 'Cmaj7', 'Am', 'B7', 'A', 'Emmaj9']",75 bpm,Em,75 bpm,"{'Am': 26, 'Fmaj7': 27, 'Dm': 25, 'E7': 11, 'D': 9, 'Ammaj9': 1}"
Shake The Frost,Tyler Childers,D,139,G,2nd fret,"['C/G', 'Am/B', 'Csus2', 'G', 'F', 'C', 'Am', 'Csus']",NF,D,139,"{'C/G': 15, 'Am/B': 10, 'Csus2': 3, 'G': 29, 'F': 16, 'C': 27, 'Am': 9, 'Csus': 5}"
Paint It Black,The Rolling Stones,C#,159,Em,no capo,"['Em', 'B', 'D', 'G', 'A']",159 bpm,C#,159 bpm,"{'D#m': 34, 'A#': 23, 'C#': 20, 'F#': 10, 'G#': 5}"
Unchained Melody,Elvis Presley,C,79,G,no capo,"['G', 'Em', 'C', 'D', 'Bm', 'G7', 'A#']",NF,C,79,"{'G': 10, 'Em': 7, 'C': 10, 'D': 15, 'Bm': 1, 'G7': 1, 'A#': 2}"
The River,Bruce Springsteen,G,117,Em,no capo,"['Em', 'G', 'D', 'C', 'Am']",117 bpm,G,117 bpm,"{'Am': 26, 'C': 32, 'G': 20, 'F': 40, 'Dm': 7}"
Hark The Herald Angels Sing,Mandy Moore,E,117,G,no capo,"['G', 'D', 'C', 'Em', 'A7', 'D7', 'Am', 'E7']",NF,E,117,"{'D#': 42, 'A#': 21, 'G#': 9, 'Cm': 3, 'F7': 6, 'A#7': 15, 'Fm': 12, 'C7': 6}"
The Greatest Showman - Never Enough,Misc Christmas,G#,87,G#,1st fret,"['G', 'D', 'Em', 'C', 'Am', 'Cm']",NF,G#,87,"{'C': 16, 'G': 13, 'Am': 11, 'F': 11, 'Dm': 4, 'Fm': 1}"
O Come All Ye Faithful,Misc Soundtrack,G,111,G,no capo,"['C', 'Am', 'D/C', 'G', 'D/G', 'D', 'Em', 'A']",80 bpm,G,80 bpm,"{'F': 17, 'Dm': 5, 'G/F': 1, 'C': 33, 'G/C': 1, 'G': 32, 'Am': 12, 'D': 4}"
Youre Still The One,Misc Christmas,C#,134,D#,1st fret,"['D', 'G', 'A', 'Em']",67 bpm,C#,67 bpm,"{'D': 26, 'G': 25, 'A': 25, 'Em': 6}"
Hello,Nirvana,G,52,Fm,1st fret,"['Em', 'G/D', 'D', 'C', 'Bm']",79 bpm,G,79 bpm,"{'A#m': 48, 'C#/G#': 42, 'G#': 47, 'F#': 47, 'Fm': 2}"
I Love You So,The Beatles,G,103,A#,no capo,"['Cm7', 'A#', 'F', 'D/F#']",76 bpm,G,76 bpm,"{'Fm7': 20, 'D#': 20, 'A#': 10, 'G/B': 10}"
Between The Bars,Eagles,Gm,135,Key Not Find,no capo,"['Am7', 'F', 'C', 'E7', 'G', 'Am', 'Am/F#', 'Fm']",138 bpm,Gm,138 bpm,"{'Bm7': 10, 'G': 20, 'D': 8, 'F#7': 8, 'A': 6, 'Bm': 6, 'Bm/G#': 2, 'Gm': 2}"
Enchanted,The Walters,Dm,115,G#,1st fret,"['G', 'Bm', 'C', 'Em', 'D']",82 bpm,Dm,82 bpm,"{'D#': 39, 'Gm': 9, 'G#': 43, 'Cm': 14, 'A#': 33}"
The First Noel,Elliott Smith,D#,91,G,no capo,"['G', 'D', 'C', 'Bm']",84 bpm,D#,84 bpm,"{'E': 57, 'B': 38, 'A': 57, 'G#m': 19}"
Free Bird,Taylor Swift,F#,131,G,no capo,"['G', 'D', 'Em', 'F', 'C', 'A#']",NF,F#,131,"{'C#': 14, 'G#': 27, 'A#m': 10, 'B': 17, 'F#': 20, 'E': 3}"
Come Together,Lynyrd Skynyrd,C,118,Dm,no capo,"['Dm', 'A7', 'G7', 'Bm', 'A', 'G']",82 bpm,C,82 bpm,"{'Dm': 8, 'A7': 4, 'G7': 4, 'Bm': 3, 'A': 6, 'G': 3}"
Halo,The Beatles,Bm,94,G,2nd fret,"['G', 'Am', 'Em', 'C']",80 bpm,Bm,80 bpm,"{'G': 25, 'Am': 20, 'Em': 20, 'C': 20}"
Under The Influence,David Bowie,F,100,Am,no capo,"['Am', 'Cadd9', 'Fmaj7', 'G', 'Cmaj9', 'C', 'F', 'Em']",NF,F,100,"{'Em': 20, 'Gadd9': 1, 'Cmaj7': 2, 'D': 20, 'Gmaj9': 1, 'G': 12, 'C': 18, 'Bm': 2}"
Bejeweled,Chris Brown,Fm,128,C,no capo,"['C', 'Dm7', 'Am', 'Gsus4', 'Fsus2']",NF,Fm,128,"{'E': 30, 'F#m7': 29, 'C#m': 29, 'Bsus4': 31, 'Asus2': 2}"
Wheres My Love,Green Day,D#,104,Key Not Find,3rd fret,"['Am', 'C', 'F', 'Dm', 'G', 'Em']",105 bpm,D#,105 bpm,"{'Am': 22, 'C': 21, 'F': 26, 'Dm': 18, 'G': 5, 'Em': 5}"
Simple Man,The Beatles,A,79,C,no capo,"['C', 'G', 'Am']",60 bpm,A,60 bpm,"{'D#': 28, 'A#': 28, 'Cm': 28}"
God Rest Ye Merry Gentlemen,Jack Johnson,C#m,136,Em,no capo,"['Em', 'C', 'B7', 'Am', 'G', 'D']",NF,C#m,136,"{'Cm': 25, 'G#': 10, 'G7': 20, 'Fm': 5, 'D#': 15, 'A#': 10}"
All The Small Things,Blink-182,C,149,C,no capo,"['C', 'F', 'G']",148 bpm,C,148 bpm,"{'C': 33, 'F': 26, 'G': 32}"
The Gambler,Kenny Rogers,D#,90,G,no capo,"['G', 'C', 'D']",NF,D#,90,"{'E': 63, 'A': 45, 'B': 18}"
O Come To The Altar,Elevation Worship,B,140,B,4th fret,"['G', 'C/G', 'Em', 'Cadd9', 'Am7', 'C', 'Gsus4', 'Fmaj7']",93 bpm,B,93 bpm,"{'C': 33, 'F/C': 13, 'Am': 16, 'Fadd9': 6, 'Dm7': 9, 'F': 10, 'Csus4': 2, 'A#maj7': 1}"
I Want To Hold Your Hand,The Beatles,G,131,G,no capo,"['C', 'D', 'G', 'Em', 'B', 'B7', 'Dm7', 'Am']",132 bpm,G,132 bpm,"{'F': 32, 'G': 27, 'C': 20, 'Am': 12, 'E': 4, 'E7': 5, 'Gm7': 4, 'Dm': 2}"
Nutshell,Alice in Chains,D#m,136,Em,no capo,"['Cadd9', 'Em7', 'G', 'D']",NF,D#m,136,"{'F#add9': 12, 'A#m7': 12, 'C#': 12, 'G#': 12}"
Runaway,AURORA,B,115,G#m,4th fret,"['Em', 'D', 'C', 'G', 'Am', 'Cmaj7']",174 bpm,B,174 bpm,"{'Am': 10, 'G': 28, 'F': 16, 'C': 19, 'Dm': 11, 'Fmaj7': 11}"
Candy,Paolo Nutini,G,125,Am,no capo,"['Am', 'Em', 'G', 'D7', 'C']",125 bpm,G,125 bpm,"{'Dm': 12, 'Am': 17, 'C': 17, 'G7': 11, 'F': 11}"
Little Talks,Of Monsters and Men,C#,103,A#m,1st fret,"['Am', 'Fmaj7', 'C', 'G', 'F']",206 bpm,C#,206 bpm,"{'Am': 51, 'Fmaj7': 42, 'C': 46, 'G': 28, 'F': 4}"
Wildest Dreams,Taylor Swift,G#,140,C#,1st fret,"['C', 'Em', 'D', 'G', 'Am']",70 bpm,G#,70 bpm,"{'F': 30, 'Am': 10, 'G': 30, 'C': 20, 'Dm': 20}"
Chandelier,Sia,C#,174,F,1st fret,"['Am', 'F', 'G', 'Em', 'C/E', 'C']",87 bpm,C#,87 bpm,"{'Am': 5, 'F': 34, 'G': 21, 'Em': 3, 'C/E': 10, 'C': 4}"
She Will Be Loved,Maroon 5,Cm,102,Cm,3rd fret,"['Am', 'G', 'C', 'F']",102 bpm,Cm,102 bpm,"{'Am': 37, 'G': 42, 'C': 13, 'F': 9}"
Arcade,Duncan Laurence,Am,72,Am,no capo,"['F', 'G', 'Em', 'Fmaj7', 'Am', 'Dm', 'C', 'C/E']",72 bpm,Am,72 bpm,"{'F': 40, 'G': 28, 'Em': 17, 'Fmaj7': 3, 'Am': 8, 'Dm': 3, 'C': 5, 'C/E': 1}"
The Weight,The Beatles,C,84,A,no capo,"['A', 'C#m', 'D', 'A/G#', 'Dsus4', 'F#m7', 'E']",144 bpm,C,144 bpm,"{'A': 62, 'C#m': 20, 'D': 50, 'A/G#': 20, 'Dsus4': 5, 'F#m7': 5, 'E': 5}"
Million Reasons,Foster the People,C,130,C,no capo,"['C', 'Am', 'F', 'G', 'Fsus2']",65 bpm,C,65 bpm,"{'C': 19, 'Am': 18, 'F': 25, 'G': 21, 'Fsus2': 11}"
Autumn Leaves,Harry Styles,A#m,105,Bm,no capo,"['Bm', 'Em7', 'A7', 'Dmaj7', 'Gmaj7', 'C#dim', 'F#7']",83 bpm,A#m,83 bpm,"{'A#m': 24, 'D#m7': 6, 'G#7': 6, 'C#maj7': 9, 'F#maj7': 4, 'Cdim': 15, 'F7': 18}"
Back In Black,Nirvana,Dm,139,E,no capo,"['E', 'D', 'A/C#', 'A', 'B', 'G', 'C']",NF,Dm,139,"{'B': 33, 'A': 25, 'E/G#': 11, 'E': 69, 'F#': 45, 'D': 24, 'G': 1}"
Lithium,Gloria Gaynor,G,121,Key Not Find,no capo,"['D', 'F#m', 'Bm', 'G', 'A#', 'C', 'A']",123 bpm,G,123 bpm,"{'G': 23, 'Bm': 23, 'Em': 23, 'C': 55, 'D#': 55, 'F': 47, 'D': 25}"
Say It Aint So,Eagles,D#,152,Key Not Find,3rd fret,"['Am', 'E', 'F', 'C', 'G', 'G/F#', 'D#']",NF,D#,152,"{'Am': 41, 'E': 41, 'F': 29, 'C': 37, 'G': 8, 'G/F#': 8, 'D#': 8}"
See You Again,Wiz Khalifa,A#,80,Gm,3rd fret,"['Em', 'G', 'C', 'D']",80 bpm,A#,80 bpm,"{'Am': 33, 'C': 73, 'F': 40, 'G': 5}"
Oceans Where Feet May Fail,Charlie Puth,D,132,Bm,7th fret,"['Em', 'D/F#', 'G', 'D', 'C', 'D/D#', 'Am', 'D4']",132 bpm,D,132 bpm,"{'Am': 27, 'G/B': 12, 'C': 37, 'G': 37, 'F': 32, 'G/G#': 1, 'Dm': 8, 'G4': 3}"
Dancing In The Moonlight,Hillsong United,A#,119,Key Not Find,3rd fret,"['Dm', 'G', 'C', 'G/B', 'Am']",119 bpm,A#,119 bpm,"{'Gm': 23, 'C': 23, 'F': 23, 'C/E': 23, 'Dm': 23}"
No Woman No Cry,Pink Floyd,Em,112,C,no capo,"['C', 'G/B', 'Am', 'F', 'G']",78 bpm,Em,78 bpm,"{'F': 41, 'C/E': 27, 'Dm': 27, 'A#': 34, 'C': 6}"
Falling,Slade,C#,100,E,no capo,"['E', 'C#m', 'B', 'A', 'G#m']",110 bpm,C#,110 bpm,"{'D#': 13, 'Cm': 13, 'A#': 12, 'G#': 13, 'Gm': 11}"
Mary,The Kid LAROI,E,120,Key Not Find,no capo,"['G', 'Cmaj7', 'Gmaj7', 'Em', 'Bm', 'C', 'D', 'A']",106 bpm,E,106 bpm,"{'D#': 36, 'G#maj7': 14, 'D#maj7': 10, 'Cm': 27, 'Gm': 2, 'G#': 9, 'A#': 6, 'F': 6}"
