Song_Name,Artist_Name,Song_link
Nothing Else Matters (ver 3),The Beatles,https://tabs.ultimate-guitar.com/tab/metallica/nothing-else-matters-chords-830604
You Cant Always Get What You Want (ver 2),The Beatles,https://tabs.ultimate-guitar.com/tab/the-rolling-stones/you-cant-always-get-what-you-want-chords-1089344
Christmas Time Is Here,The Beatles,https://tabs.ultimate-guitar.com/tab/vince-guaraldi/christmas-time-is-here-chords-765320
I Took A Pill In Ibiza (ver 2),Simon & Garfunkel,https://tabs.ultimate-guitar.com/tab/mike-posner/i-took-a-pill-in-ibiza-chords-1784262
After The Gold Rush,Neil Young,https://tabs.ultimate-guitar.com/tab/neil-young/after-the-gold-rush-chords-56557
Dreams (ver 5),Fleetwood Mac,https://tabs.ultimate-guitar.com/tab/fleetwood-mac/dreams-chords-1044711
Waterloo Sunset,The Kinks,https://tabs.ultimate-guitar.com/tab/the-kinks/waterloo-sunset-chords-10226
West Coast,Lana Del Rey,https://tabs.ultimate-guitar.com/tab/lana-del-rey/west-coast-chords-1476802
Lay All Your Love On Me,ABBA,https://tabs.ultimate-guitar.com/tab/abba/lay-all-your-love-on-me-chords-1798288
Lovely Day (ver 5),Bill Withers,https://tabs.ultimate-guitar.com/tab/bill-withers/lovely-day-chords-1135417
Fields Of Gold (ver 2),Eva Cassidy,https://tabs.ultimate-guitar.com/tab/eva-cassidy/fields-of-gold-chords-564599
Easy (ver 4),Commodores,https://tabs.ultimate-guitar.com/tab/commodores/easy-chords-1674672
Never Tear Us Apart,INXS,https://tabs.ultimate-guitar.com/tab/inxs/never-tear-us-apart-chords-21372
As Long As You Love Me (ver 2),Backstreet Boys,https://tabs.ultimate-guitar.com/tab/backstreet-boys/as-long-as-you-love-me-chords-263108
The Joker,Steve Miller Band,https://tabs.ultimate-guitar.com/tab/steve-miller-band/the-joker-chords-84084
Daydream Believer,The Monkees,https://tabs.ultimate-guitar.com/tab/the-monkees/daydream-believer-chords-75347
Man I Feel Like A Woman (ver 2),Shania Twain,https://tabs.ultimate-guitar.com/tab/shania-twain/man-i-feel-like-a-woman-chords-1839726
Black Magic Woman,Santana,https://tabs.ultimate-guitar.com/tab/santana/black-magic-woman-chords-1086950
The Moon Song,Karen O,https://tabs.ultimate-guitar.com/tab/karen-o/the-moon-song-chords-1416877
Losing Interest,Shiloh Dynasty,https://tabs.ultimate-guitar.com/tab/shiloh-dynasty/losing-interest-chords-2911190
Mighty To Save (ver 4),Hillsong Worship,https://tabs.ultimate-guitar.com/tab/hillsong-worship/mighty-to-save-chords-665341
Call Out My Name,The Weeknd,https://tabs.ultimate-guitar.com/tab/the-weeknd/call-out-my-name-chords-2354751
Broken,Isak Danielson,https://tabs.ultimate-guitar.com/tab/isak-danielson/broken-chords-2386195
Nachaheko Hoina Timilai,The Edge Band,https://tabs.ultimate-guitar.com/tab/the-edge-band/nachaheko-hoina-timilai-chords-1518287
Without Me (ver 2),Halsey,https://tabs.ultimate-guitar.com/tab/halsey/without-me-chords-2485194
Sunflower,Post Malone,https://tabs.ultimate-guitar.com/tab/post-malone/sunflower-chords-2497134
Dancing With Your Ghost,Swae Lee,https://tabs.ultimate-guitar.com/tab/sasha-sloan/dancing-with-your-ghost-chords-2748744
Cry,Sasha Sloan,https://tabs.ultimate-guitar.com/tab/cigarettes-after-sex/cry-chords-2869340
Revival,Cigarettes After Sex,https://tabs.ultimate-guitar.com/tab/zach-bryan/revival-chords-2907779
Middle Of The Night,Zach Bryan,https://tabs.ultimate-guitar.com/tab/2977571
